YEAR,MONTH,STATEFIP,WTFINL,EARNWEEK2,AGE,SEX,OCC,UHRSWORKT,EDUC
2020,3,2,,878.0,62,2,4920,38,73
2020,3,12,,578.0,36,2,310,40,73
2020,3,6,,962.0,53,1,1050,50,111
2020,3,27,,536.0,66,2,5400,32,81
2020,3,39,,962.0,42,1,9620,40,92
2020,3,31,,770.0,37,2,2300,40,123
2020,3,54,,1630.0,28,2,5740,40,91
2020,3,33,,1220.0,54,2,220,40,81
2020,3,51,,58.0,21,2,2710,25,81
2020,3,25,,2885.0,28,1,1021,40,111
2020,3,34,,482.0,67,2,4760,22,73
2020,3,21,,1850.0,30,1,3010,35,124
2020,3,39,,640.0,41,1,8810,40,73
2020,3,6,,1108.0,27,2,5250,40,111
2020,3,31,,1830.0,42,2,120,50,123
2020,3,6,,376.0,37,2,4760,27,111
2020,3,55,,1140.0,33,2,2145,40,111
2020,3,45,,1154.0,44,1,4700,48,81
2020,3,35,,1034.0,56,2,3645,40,91
2020,3,19,,250.0,18,2,4110,997,73
2020,3,2,,582.0,35,2,2016,40,81
2020,3,48,,1440.0,54,2,310,50,81
2020,3,12,,1082.0,48,2,3255,28,111
2020,3,12,,500.0,34,1,4760,40,73
2020,3,48,,382.0,62,2,4600,33,73
2020,3,6,,540.0,27,1,3603,40,81
2020,3,49,,600.0,41,2,5120,42,91
2020,3,37,,1850.0,31,1,8140,50,81
2020,3,49,,1330.0,31,1,735,42,111
2020,3,42,,2300.0,46,2,705,45,111
2020,3,39,,520.0,40,2,7700,40,73
2020,3,40,,1116.0,56,1,9130,40,73
2020,3,6,,950.0,45,2,3602,50,81
2020,3,45,,688.0,48,1,7330,40,111
2020,3,38,,600.0,24,1,7540,40,73
2020,3,53,,1400.0,55,1,2310,43,111
2020,3,45,,2000.0,60,2,440,37,81
2020,3,53,,1100.0,36,1,6050,40,30
2020,3,34,,600.0,30,2,3255,40,111
2020,3,42,,1730.0,60,2,2100,50,125
2020,3,46,,904.0,46,1,8140,45,73
2020,3,6,,2320.0,34,1,3323,997,91
2020,3,38,,720.0,50,2,4220,30,81
2020,3,30,,1440.0,64,2,3255,40,91
2020,3,31,,2885.0,39,2,565,45,111
2020,3,36,,800.0,31,2,2710,40,111
2020,3,18,,1000.0,64,2,2320,997,123
2020,3,6,,866.0,39,1,9645,40,60
